Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
RNASE10	"RAH1, RNASE9"	ENSG00000182545	"Ribonuclease A family member 10 (inactive)"	Q5GAN6	14	20505537-20513884	"Predicted secreted proteins"	"Cell adhesion, Fertilization"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	5	"head and neck cancer: 2.0;testis cancer: 1.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Esophageal cancer: 3.4;head and neck cancer: 3.6"		"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA052593	Uncertain				"Secreted - unknown location"	"Cell adhesion"	NA	NA					"Cluster 6: Non-specific - Immune response"	"Cluster 53: Squamous epithelial cells - Keratinization"		6			"HPA052593: AB_2681878"	"unprognostic (2.48e-3)"	"unprognostic (2.22e-1)"	"unprognostic (2.46e-2)"	"unprognostic (1.17e-1)"	"unprognostic (1.74e-1)"	"unprognostic (5.91e-3)"	"unprognostic (5.03e-3)"	"unprognostic (5.58e-3)"	"unprognostic (4.20e-2)"	"unprognostic (3.04e-1)"	"unprognostic (1.98e-3)"	"unprognostic (1.11e-1)"	"unprognostic (7.88e-4)"	"unprognostic (1.58e-1)"	"unprognostic (3.62e-1)"	"unprognostic (8.76e-2)"	"unprognostic (2.58e-1)"
RNASE11	"C14orf6, RAJ1"	ENSG00000173464	"Ribonuclease A family member 11 (inactive)"	Q8TAA1	14	20582892-20609884	"Predicted secreted proteins"		"Endonuclease, Hydrolase, Nuclease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	14	"epididymis: 643.4"	"Group enriched"	"Detected in some"	94	"Early spermatids: 22.9;Late spermatids: 52.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids, Testis - Late spermatids"									HPA003724	Uncertain				"Secreted in male reproductive system"	Enzyme	NA	NA				"Cluster 50: Epididymis - Male reproductive secretion"		"Cluster 21: Lymphoma - Adaptive immune response"	"Cluster 11: Late spermatids - Unknown function"				"HPA003724: AB_1079817"																	
RNASE12	RAI1	ENSG00000258436	"Ribonuclease A family member 12 (inactive)"	Q5GAN4	14	20590073-20591376	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	288	"epididymis: 679.2"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA044175, HPA059465"	Enhanced				"Secreted in male reproductive system"	"No annotated function"	NA	NA				"Cluster 50: Epididymis - Male reproductive secretion"							"HPA044175: AB_10960390, HPA059465: AB_2732638"																	
RNASE13	RAL1	ENSG00000206150	"Ribonuclease A family member 13 (inactive)"	Q5GAN3	14	21032818-21034807	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	103	"epididymis: 299.6"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Liver - Hepatocytes, Testis - Late spermatids"	"Not detected"	"Not detected"												"Secreted in male reproductive system"	"No annotated function"	NA	NA				"Cluster 50: Epididymis - Male reproductive secretion"		"Cluster 15: Kidney cancer - Membrane components"						"unprognostic (2.54e-1)"				"unprognostic (2.52e-1)"		"unprognostic (2.86e-1)"			"unprognostic (8.40e-2)"	"unprognostic (1.93e-1)"		"unprognostic (7.15e-2)"	"unprognostic (1.63e-3)"		"unprognostic (5.20e-4)"	"unprognostic (1.47e-2)"
RNASE2	"EDN, RAF3, RNS2"	ENSG00000169385	"Ribonuclease A family member 2"	P10153	14	20955487-20956436	"Enzymes, Plasma proteins, Predicted secreted proteins"	Chemotaxis	"Endonuclease, Hydrolase, Lyase, Nuclease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	49	"bone marrow: 1689.0"	"Group enriched"	"Detected in some"	4	"Kupffer cells: 220.6;Macrophages: 68.7"	"Cancer enriched"	"Detected in many"	7	"glioma: 14.1"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	5	"basophil: 459.4;eosinophil: 1355.1"	"Lineage enriched"	"Detected in many"	7	"granulocytes: 1355.1"	"Cancer enriched"	"Detected in single"	210	"Leukemia: 160.0"	"Adipose subcutaneous - Macrophages, Breast - Macrophages, Heart muscle - Macrophages, Kidney - Macrophages, Prostate - Macrophages, Stomach - Macrophages, Thyroid - Macrophages"					"Not detected"	"Not detected"			HPA044983	Enhanced				"Secreted to blood"	Enzyme	NA	NA		200000000	"Cluster 42: Non-specific - Vesicular transport"	"Cluster 6: Bone marrow - Innate immune response"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 29: Monocytes - Innate immune response"	1			"HPA044983: AB_10963689"	"unprognostic (6.66e-2)"	"unprognostic (3.00e-1)"	"unprognostic (6.85e-2)"	"unprognostic (7.68e-2)"	"unprognostic (2.73e-2)"	"unprognostic (9.26e-2)"	"unprognostic (4.94e-3)"	"unprognostic (6.77e-2)"	"unprognostic (9.54e-2)"	"unprognostic (3.24e-2)"	"unprognostic (3.25e-2)"	"unprognostic (3.45e-1)"	"prognostic unfavorable (3.28e-13)"	"unprognostic (2.27e-2)"	"unprognostic (7.14e-3)"	"unprognostic (5.33e-2)"	"unprognostic (1.50e-1)"
RNASE3	"ECP, RAF1, RNS3"	ENSG00000169397	"Ribonuclease A family member 3"	P12724	14	20891385-20892348	"Predicted secreted proteins"		"Antibiotic, Antimicrobial, Endonuclease, Hydrolase, Nuclease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	93	"bone marrow: 896.5"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 21.7;Erythroid cells: 5.2;Kupffer cells: 7.3;Late spermatids: 12.3;Rod photoreceptor cells: 3.8"	"Cancer enriched"	"Detected in single"	8	"glioma: 2.0"	"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in many"	20	"eosinophil: 307.0"	"Lineage enriched"	"Detected in many"	20	"granulocytes: 307.0"	"Cancer enriched"	"Detected in single"	42	"Leukemia: 22.3"	"Lung - Neutrophil_1, Testis - Late spermatids"									HPA056183	Enhanced				"Secreted to blood"	Enzyme	NA	NA	4200000		"Cluster 29: Non-specific - Unknown function"	"Cluster 6: Bone marrow - Innate immune response"	"Cluster 22: Non-specific - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 18: Early spermatids - Unknown function"				"HPA056183: AB_2683059"	"unprognostic (2.54e-2)"	"unprognostic (6.61e-2)"	"unprognostic (1.84e-1)"	"unprognostic (2.50e-1)"	"unprognostic (1.37e-2)"	"unprognostic (8.21e-2)"		"unprognostic (6.45e-2)"	"unprognostic (9.20e-3)"	"unprognostic (1.20e-1)"	"unprognostic (9.21e-2)"		"unprognostic (8.62e-7)"	"unprognostic (6.29e-2)"	"unprognostic (1.03e-1)"	"unprognostic (1.70e-1)"	"unprognostic (2.37e-1)"
RNASE4	RAB1	ENSG00000258818	"Ribonuclease A family member 4"	P34096	14	20684560-20701216	"Plasma proteins, Predicted secreted proteins"		"Endonuclease, Hydrolase, Nuclease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	4	"liver: 463.8"	"Cell type enhanced"	"Detected in many"		"Enteroendocrine cells: 56.1;Gastric mucus-secreting cells: 48.9;Hepatocytes: 47.7;Intestinal goblet cells: 97.9;Proximal enterocytes: 38.9"	"Cancer enhanced"	"Detected in many"		"liver cancer: 6.8"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"classical monocyte: 24.1"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Heart muscle - Fibroblasts, Liver - Hepatocytes, Thyroid - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"								"Secreted to blood"	Enzyme	NA	NA		61000000	"Cluster 2: Dendritic cells - Unknown function"	"Cluster 83: Liver - Metabolism"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 2: Mucus-secreting cells - Unknown function"	"Cluster 16: Intestinal goblet cells - Mucin production"					"unprognostic (1.07e-1)"	"unprognostic (3.46e-1)"	"unprognostic (5.21e-2)"	"unprognostic (3.18e-4)"	"unprognostic (1.20e-1)"	"unprognostic (7.05e-2)"	"prognostic favorable (9.62e-5)"	"unprognostic (1.43e-1)"	"unprognostic (2.22e-2)"	"unprognostic (6.88e-2)"	"unprognostic (3.71e-2)"	"unprognostic (1.29e-1)"	"unprognostic (3.46e-1)"	"unprognostic (2.54e-2)"	"unprognostic (1.57e-1)"	"unprognostic (9.16e-2)"	"unprognostic (4.27e-2)"
RNASE6	"RAD1, RNaseK6, RNS6"	ENSG00000169413	"Ribonuclease A family member k6"	Q93091	14	20781268-20782467	"Predicted secreted proteins"		"Antibiotic, Antimicrobial, Endonuclease, Hydrolase, Nuclease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"lymphoid tissue: 107.8"	"Group enriched"	"Detected in many"	5	"B-cells: 132.1;dendritic cells: 422.0;Hofbauer cells: 260.5;Kupffer cells: 438.5;Langerhans cells: 223.1;Macrophages: 253.9;Schwann cells: 222.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"plasmacytoid DC: 1241.7"	"Low lineage specificity"	"Detected in all"			"Group enriched"	"Detected in some"	4	"Leukemia: 21.5;lymphoma: 7.2;Myeloma: 9.0"	"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Breast - Macrophages, Colon - Macrophages, Heart muscle - Macrophages, Kidney - Macrophages, Liver - Kupffer cells, Lung - Macrophages, Pancreas - Macrophages, Prostate - Macrophages, Skeletal muscle - Macrophages, Skin - Macrophages, Stomach - Macrophages, Testis - Macrophages, Thyroid - Macrophages"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA000698	Approved				"Secreted to blood"	Enzyme	NA	NA		2600000	"Cluster 2: Dendritic cells - Unknown function"	"Cluster 70: Lymphoid tissue - Immune response"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 28: Dendritic cells - Antigen presentation"				"HPA000698: AB_2181340"	"unprognostic (5.04e-2)"	"unprognostic (5.21e-3)"	"unprognostic (3.59e-2)"	"unprognostic (4.05e-2)"	"unprognostic (1.74e-1)"	"unprognostic (7.31e-2)"	"unprognostic (7.91e-2)"	"unprognostic (2.29e-1)"	"unprognostic (4.45e-1)"	"unprognostic (1.65e-1)"	"unprognostic (2.04e-1)"	"unprognostic (2.73e-1)"	"unprognostic (2.85e-3)"	"unprognostic (9.62e-2)"	"unprognostic (5.60e-3)"	"unprognostic (3.46e-2)"	"unprognostic (5.54e-2)"
RNASE7	RAE1	ENSG00000165799	"Ribonuclease A family member 7"	Q9H1E1	14	21042316-21044234	"Predicted secreted proteins"		"Antibiotic, Antimicrobial, Endonuclease, Hydrolase, Nuclease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"esophagus: 72.5;lymphoid tissue: 23.4;skin 1: 27.1"	"Cell type enhanced"	"Detected in some"		"Basal prostatic cells: 2.7;Cholangiocytes: 9.5;Ductal cells: 5.0;Salivary duct cells: 2.4;Suprabasal keratinocytes: 2.6;Syncytiotrophoblasts: 13.4"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 17.8"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bile duct cancer: 4.3;head and neck cancer: 10.2"	"Prostate - Prostate basal glandular cells, Skin - Keratinocyte (granular)"									"HPA005690, CAB062560, CAB068225"	Enhanced				"Secreted in other tissues"	Enzyme	NA	NA		280000		"Cluster 27: Squamous epithelium - Keratinization"		"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 27: Syncytiotrophoblasts - Pregnancy"				"CAB062560: AB_2665595, CAB068225: AB_2665594, HPA005690: AB_1079819"	"unprognostic (1.13e-2)"	"unprognostic (3.21e-1)"	"unprognostic (5.84e-2)"	"unprognostic (2.53e-1)"	"unprognostic (1.71e-1)"	"unprognostic (8.27e-2)"	"unprognostic (7.80e-2)"	"unprognostic (8.73e-2)"	"unprognostic (3.28e-1)"	"unprognostic (1.15e-1)"	"unprognostic (2.25e-2)"	"unprognostic (1.94e-1)"	"unprognostic (2.17e-2)"	"unprognostic (1.74e-1)"	"unprognostic (8.23e-2)"	"unprognostic (3.24e-1)"	"unprognostic (3.42e-1)"
RNASE8	RAE2	ENSG00000173431	"Ribonuclease A family member 8"	Q8TDE3	14	21057822-21058455	"Predicted secreted proteins"		"Endonuclease, Hydrolase, Nuclease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	229	"salivary gland: 53.2"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"																	"Secreted to digestive system"	Enzyme	NA	NA				"Cluster 38: Salivary gland - Salivary secretion"			"Cluster 75: Serous glandular cells - Salivary secretion"																					
RNASE9	"h461, RAK1"	ENSG00000188655	"Ribonuclease A family member 9 (inactive)"	P60153	14	20556093-20560931	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	962	"epididymis: 96.2"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"								"Secreted in male reproductive system"	"No annotated function"	NA	NA				"Cluster 50: Epididymis - Male reproductive secretion"		"Cluster 14: Myeloid leukemia - Innate immune response"																						
RNASET2	"bA514O12.3, FLJ10907, RNASE6PL"	ENSG00000026297	"Ribonuclease T2"	O00584	6	166922113-166957191	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"	"Immunity, Innate immunity"	"Endonuclease, Hydrolase, Lyase, Nuclease"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"dendritic cells: 768.3;Glandular and luminal cells: 777.5;Hofbauer cells: 485.7;Kupffer cells: 434.5;monocytes: 589.7;Secretory cells: 458.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Cancer enhanced"	"Detected in all"		"Kidney cancer: 182.0"	"Skeletal muscle - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA029013, HPA066509"	Approved				"Secreted to blood"	Immunity	NA	NA		15000000	"Cluster 25: Non-specific - Unknown function"	"Cluster 53: Non-specific - Glycosylation"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 37: Glandular & Luminal cells - Unknown function"				"HPA029013: AB_10602922, HPA066509: AB_2685682"	"unprognostic (4.18e-2)"	"unprognostic (2.57e-1)"	"unprognostic (1.44e-1)"	"unprognostic (1.06e-1)"	"unprognostic (4.13e-2)"	"unprognostic (9.33e-2)"	"unprognostic (1.76e-2)"	"unprognostic (1.30e-1)"	"unprognostic (1.15e-2)"	"unprognostic (8.11e-2)"	"unprognostic (1.79e-1)"	"unprognostic (5.06e-2)"	"prognostic unfavorable (1.70e-14)"	"unprognostic (5.03e-2)"	"unprognostic (7.34e-2)"	"unprognostic (6.29e-2)"	"unprognostic (1.01e-2)"
RNLS	"C10orf59, FLJ11218, renalase"	ENSG00000184719	"Renalase, FAD dependent amine oxidase"	Q5VYX0	10	88273864-88584530	"Enzymes, Predicted secreted proteins"		Oxidoreductase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 99.5;Inhibitory neurons: 96.8;Oligodendrocyte precursor cells: 48.6;Oligodendrocytes: 57.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"								"Secreted to blood"	Enzyme	NA	NA	10500000000		"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 55: Kidney & Intestine - Metabolism"	"Cluster 50: Non-specific - Nucleic acid binding"	"Cluster 9: Skin cancer - Melanin biosynthesis"	"Cluster 69: Neurons - Neuronal signaling"	1				"unprognostic (3.27e-2)"	"unprognostic (9.16e-2)"	"unprognostic (1.27e-1)"	"unprognostic (2.58e-1)"	"unprognostic (1.46e-3)"	"unprognostic (1.99e-1)"	"unprognostic (2.01e-1)"	"unprognostic (2.29e-1)"	"unprognostic (1.32e-1)"	"unprognostic (1.59e-1)"	"unprognostic (3.98e-1)"	"unprognostic (1.14e-1)"	"unprognostic (1.75e-2)"	"unprognostic (7.74e-3)"	"unprognostic (1.37e-2)"	"unprognostic (9.80e-2)"	"unprognostic (1.71e-1)"
RNPEP	APB	ENSG00000176393	"Arginyl aminopeptidase"	Q9H4A4	1	201982372-202006147	"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"		"Aminopeptidase, Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Proximal enterocytes: 196.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Group enriched"	"Detected in all"	4	"dendritic cells: 19.8;granulocytes: 23.2;monocytes: 30.0"	"Low cancer specificity"	"Detected in all"			"Adipose visceral - Adipose progenitor cells, Stomach - Mitotic cells (Stomach)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA036074, HPA036075, HPA061487"	Approved		Approved	"Golgi apparatus"	"Secreted - unknown location"	Enzyme	NA	NA		7800000	"Cluster 25: Non-specific - Unknown function"	"Cluster 45: Intestine - Digestion"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 45: Non-specific - Nuclear processes"	"Cluster 58: Macrophages - Innate immune response"		"Golgi apparatus"		"HPA036074: AB_2674926, HPA036075: AB_10672999, HPA061487: AB_2684537"	"unprognostic (8.57e-2)"	"unprognostic (3.43e-2)"	"unprognostic (2.81e-1)"	"unprognostic (5.45e-2)"	"unprognostic (2.68e-1)"	"unprognostic (1.74e-2)"	"unprognostic (1.95e-2)"	"unprognostic (2.87e-2)"	"unprognostic (1.93e-3)"	"unprognostic (1.80e-1)"	"unprognostic (1.07e-1)"	"unprognostic (1.28e-1)"	"unprognostic (3.50e-3)"	"unprognostic (1.91e-1)"	"unprognostic (6.00e-2)"	"unprognostic (1.97e-2)"	"unprognostic (1.68e-1)"
RPTN	FLJ39117	ENSG00000215853	Repetin	Q6XPR3	1	152153595-152159228	"Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"lymphoid tissue: 50.8;skin 1: 28.9"	"Cell type enriched"	"Detected in some"	4	"Suprabasal keratinocytes: 15.5"	"Cancer enriched"	"Detected in some"	4	"head and neck cancer: 6.4"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"cervical cancer: 2.8;colorectal cancer: 1.3;head and neck cancer: 1.3"		"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA030483, HPA030485"	Enhanced				"Secreted to extracellular matrix"	"No annotated function"	NA	NA				"Cluster 13: Skin - Cornification"		"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 59: Suprabasal keratinocytes - Cornification"				"HPA030483: AB_2673495, HPA030485: AB_10601159"		"unprognostic (1.37e-2)"				"unprognostic (5.06e-2)"		"unprognostic (2.35e-1)"	"unprognostic (4.54e-2)"		"unprognostic (4.00e-2)"						"unprognostic (5.23e-3)"
RS1	"RS, XLRS1"	ENSG00000102104	"Retinoschisin 1"	O15537	X	18639688-18672108	"Disease related genes, Human disease related genes, Potential drug targets, Predicted secreted proteins, Transporters"	"Cell adhesion, Sensory transduction, Vision"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	207	"retina: 207.2"	"Group enriched"	"Detected in some"	10	"Cone photoreceptor cells: 436.7;Rod photoreceptor cells: 145.6"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Uterine cancer: 2.5"		"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA059546	Enhanced				"Secreted in other tissues"	"Cell adhesion"	NA	NA				"Cluster 76: Retina - Visual perception"		"Cluster 1: Neuronal - Visual perception"	"Cluster 66: Photoreceptor cells - Visual perception"				"HPA059546: AB_2684058"	"unprognostic (8.31e-2)"	"unprognostic (1.79e-1)"	"unprognostic (4.99e-2)"	"unprognostic (2.39e-2)"	"unprognostic (1.86e-1)"	"unprognostic (4.80e-1)"	"unprognostic (2.74e-1)"	"unprognostic (2.68e-2)"	"unprognostic (1.00e-1)"	"unprognostic (1.74e-1)"	"unprognostic (4.77e-3)"	"unprognostic (4.14e-1)"	"unprognostic (7.03e-2)"	"unprognostic (1.06e-1)"	"unprognostic (3.06e-2)"	"unprognostic (5.12e-2)"	"unprognostic (2.04e-4)"
